AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
ABZ;EGPD;Aberdeen Airport;Aberdeen, Scotland, United Kingdom
ACA;MMAA;General Juan N. alvarez International Airport;Acapulco, Guerrero, Mexico
ACB;KACB;Antrim County Airport;Bellaire, Michigan, United States
ACC;DGAA;Kotoka International Airport;Accra, Ghana
ACD;SKAD;Alcides Fernandez Airport;Acandi, Colombia
ACE;GCRR;Lanzarote Airport;Lanzarote, Canary Islands, Spain
ACH;LSZR;St. Gallen-Altenrhein Airport;Altenrhein, Switzerland
ACI;EGJA;Alderney Airport;Alderney, Channel Islands, United Kingdom
ACJ;VCCA;Anuradhapura Airport;Anuradhapura, Sri Lanka
ACK;KACK;Nantucket Memorial Airport;Nantucket, Massachusetts, United States
ACL;;Aguaclara Airport;Aguaclara, Colombia
ACM;;Arica Airport;Arica, Colombia
ACN;MMCC;Ciudad Acuna International Airport;Ciudad Acuna, Coahuila, Mexico
ACP;OITM;Sahand Airport;Maragheh, Iran
ACR;SKAC;Araracuara Airport;Araracuara, Colombia
ACS;UNKS;Achinsk Airport;Achinsk, Krasnoyarsk Krai, Russia
ACT;KACT;Waco Regional Airport;Waco, Texas, United States
ACU;;Achutupo Airport;Achutupo, Panama
ACV;KACV;Arcata-Eureka Airport;Eureka / Arcata, California, California, United States
ACX;ZUYI;Xingyi Wanfenglin Airport;Xingyi, Guizhou, China
ACY;KACY;Atlantic City International Airport;Atlantic City, New Jersey, United States
ACZ;OIZB;Zabol Airport;Zabol, Iran
ADA;LTAF;Adana ?akirpa?a Airport;Adana, Turkey
ADB;LTBJ;Adnan Menderes Airport;Izmir, Turkey
ADC;AYAN;Andakombe Airport;Andakombe, Papua New Guinea
ADD;HAAB;Bole International Airport;Addis Ababa, Ethiopia
ADE;OYAA;Aden International Airport;Aden, Yemen
ADF;LTCP;Ad?yaman Airport;Ad?yaman, Turkey
ADG;KADG;Lenawee County Airport;Adrian, Michigan, United States
ADH;UEEA;Aldan Airport;Aldan, Yakutia, Russia
ADI;FYAR;Arandis Airport;Arandis, Namibia
ADJ;OJAM;Amman Civil Airport (Marka International Airport);Amman, Jordan
ADK;PADK;Adak Airport;Adak Island, Alaska, United States
ADL;YPAD;Adelaide Airport;Adelaide, South Australia, Australia
ADM;KADM;Ardmore Municipal Airport;Ardmore, Oklahoma, United States
ADN;SKAN;Andes Airport;Andes, Colombia
ADO;YAMK;Andamooka Airport;Andamooka, South Australia, Australia
ADP;VCCG;Ampara Airport;Ampara, Sri Lanka
ADQ;PADQ;Kodiak Airport;Kodiak, Alaska, United States
ADR;KPHH;Robert F. Swinnie Airport (FAA: PHH);Andrews, South Carolina, United States
ADS;KADS;Addison Airport;Dallas, Texas, United States
ADT;KADH;Ada Municipal Airport (FAA: ADH);Ada, Oklahoma, United States
ADU;OITL;Ardabil Airport;Ardabil, Iran
ADV;;Ed Daein Airport;Ed Daein, Sudan
ADW;KADW;Andrews Field (Andrews Air Force Base);Camp Springs, Maryland, United States
ADX;EGQL;RAF Leuchars;St Andrews, Scotland, United Kingdom
ADY;FAAL;Alldays Airport;Alldays, South Africa
ADZ;SKSP;Gustavo Rojas Pinilla International Airport;San Andres Island, Colombia
AEA;NGTB;Abemama Atoll Airport;Abemama Atoll, Kiribati
AEB;ZGBS;Baise Bama Airport;Baise, Guangxi, China
AEE;;Adareil Airport;Adareil, South Sudan
AEG;WIME;Aek Godang Airport;Padang Sidempuan, Indonesia
AEH;FTTC;Abeche Airport;Abeche, Chad
AEK;AYAX;Aseki Airport;Aseki, Papua New Guinea
AEL;KAEL;Albert Lea Municipal Airport;Albert Lea, Minnesota, United States
AEO;GQNA;Aioun el Atrouss Airport;Aioun el Atrouss, Mauritania
AEP;SABE;Jorge Newbery Airpark;CABA, Buenos Aires, Argentina
AER;URSS;Sochi International Airport;Sochi, Krasnodar Krai, Russia
AES;ENAL;Alesund Airport, Vigra;Alesund, Norway
AET;PFAL;Allakaket Airport (FAA: 6A8);Allakaket, Alaska, United States
AEU;OIBA;Abu Musa Airport;Abu Musa Island, Iran
AEX;KAEX;Alexandria International Airport;Alexandria, Louisiana, United States
AEY;BIAR;Akureyri Airport;Akureyri, Iceland
AFA;SAMR;San Rafael Airport;San Rafael, Mendoza, Mendoza, Argentina
AFD;FAPA;Port Alfred Airport;Port Alfred, South Africa
AFF;KAFF;United States Air Force Academy Airfield;Colorado Springs, Colorado, United States
AFI;SKAM;Amalfi Airport;Amalfi, Colombia
AFK;;Kondavattavan Tank Seaplane Base;Ampara, Sri Lanka
AFL;SBAT;Alta Floresta Airport;Alta Floresta, Mato Grosso, Brazil
AFN;KAFN;Jaffrey Airport-Silver Ranch;Jaffrey, New Hampshire, United States
AFO;KAFO;Afton Municipal Airport;Afton, Wyoming, United States
AFR;AYAF;Afore Airport;Afore, Papua New Guinea
AFS;UTSN;Zarafshan Airport;Zarafshan, Uzbekistan
AFT;AGAF;Afutara Airport;Afutara, Malaita, Solomon Islands
AFW;KAFW;Fort Worth Alliance Airport;Fort Worth, Texas, United States
AFY;LTAH;Afyon Airport;Afyon, Turkey
AFZ;OIMS;Sabzevar Airport;Sabzevar, Iran
AGA;GMAD;Agadir-Al Massira Airport;Agadir, Morocco
AGB;EDMA;Augsburg Airport;Augsburg, Bavaria, Germany
AGC;KAGC;Allegheny County Airport;Pittsburgh, Pennsylvania, United States
AGD;;Anggi Airport;Anggi, Indonesia
AGE;EDWG;Wangerooge Airport;Wangerooge, Lower Saxony, Germany
AGF;LFBA;Agen La Garenne Airport;Agen, Aquitaine, France
AGG;;Angoram Airport;Angoram, Papua New Guinea
AGH;ESTA;Angelholm-Helsingborg Airport (former ICAO: ESDB);Angelholm, Sweden
AGI;SMWA;Wageningen Airstrip;Wageningen, Suriname
AGJ;RORA;Aguni Airport;Aguni, Okinawa, Japan
AGK;;Kagua Airport;Kagua, Papua New Guinea
AGL;AYWG;Wanigela Airport;Wanigela, Papua New Guinea
AGN;PAGN;Angoon Seaplane Base;Angoon, Alaska, United States
AGO;KAGO;Magnolia Municipal Airport;Magnolia, Arkansas, United States
